language,title,summary,url,image_url,hashtags
"es","10 cualidades que un entrenador debería tener","Inspiradas en el libro de F. Ducasse, estas 10 cualidades te ayudarán a escuchar, crear vínculo y gestionar mejor a tu equipo de fútbol.","https://www.ppf11.com/es/blog/10-cualidades-entrenador-futbol","https://www.preparationphysiquefootball.com/images/blog/8-qualites-quun-coach-devrait-avoir.jpg","#gestión"
"es","10 cualidades para triunfar en el fútbol","Determinación, control emocional, disciplina, objetivos claros… Descubre las 10 cualidades que jugadores y entrenadores necesitan para rendir y triunfar.","https://www.ppf11.com/es/blog/10-cualidades-para-triunfar","https://www.preparationphysiquefootball.com/images/blog/10-qualit%C3%A9s-pour-r%C3%A9ussir-dans-le-football.jpg","#mental"
"es","10 ejercicios de vivacidad en el fútbol","Descubre qué es la vivacidad, cuándo y cómo trabajarla con tus jugadores, y 6 ejercicios listos para tus sesiones de fútbol amateur.","https://www.ppf11.com/es/blog/10-ejercicios-de-agilidad","https://www.preparationphysiquefootball.com/images/blog/Developper-ses-obliques.jpg","#velocidad"
"es","Los 10 factores clave del desarrollo a largo plazo del jugador","Descubre los 10 factores clave del Desarrollo a Largo Plazo del Jugador (DLP) según el modelo canadiense, una referencia mundial adaptada al fútbol.","https://www.ppf11.com/es/blog/10-factores-desarrollo-a-largo-plazo-del-jugador","https://www.preparationphysiquefootball.com/images/blog/Frappez-plus-fort.jpg","#fútbolbase"
"es","12 ejercicios de intermitente-fuerza en el fútbol","Combina fuerza y carrera en una misma sesión: progresión de Cometti, tiempos de esfuerzo-recuperación y 12 ejercicios listos para usar.","https://www.ppf11.com/es/blog/12-ejercicios-intermitente-fuerza","https://www.preparationphysiquefootball.com/images/blog/2-exemples-de-travail-intermittent-force.jpg","#resistencia"
"es","15 ejercicios de frecuencia gestual en el fútbol","Descubre qué es la frecuencia gestual, cuándo trabajarla y 6 grupos de ejercicios listos para mejorar la velocidad de tus jugadores de fútbol.","https://www.ppf11.com/es/blog/15-ejercicios-de-frecuencia-gestual","https://www.preparationphysiquefootball.com/images/blog/etirements-activo-dynamiques-football.jpg","#velocidad"
"es","22 ejercicios físicos en fútbol con poco material","22 ejercicios de calentamiento, velocidad, resistencia y coordinación con solo unas balizas, conos o aros: efectivos, divertidos y para cualquier club amateur.","https://www.ppf11.com/es/blog/22-ejercicios-fisicos-con-poco-material","https://www.preparationphysiquefootball.com/images/echauffement-passes-foot.png","#fuerza"
"es","25 ideas de juegos reducidos para trabajar físico, técnica y táctica","25 juegos reducidos con oposición y balón para entrenar a la vez resistencia, técnica y táctica, con diagramas y todas las variantes explicadas.","https://www.ppf11.com/es/blog/25-juegos-reducidos-en-futbol","https://www.preparationphysiquefootball.com/images/blog/Exercice-Combinaison-Circuit-training-Jeux-reduits.jpg","#planificación"
"es","5 ejercicios para trabajar la velocidad de reacción","Tiempo de reacción, velocidad y frecuencia gestual: 5 ejercicios con diagramas para mejorar la velocidad de reacción y de decisión de tus jugadores.","https://www.ppf11.com/es/blog/5-ejercicios-de-velocidad-de-reaccion","https://www.preparationphysiquefootball.com/images/blog/5-exercices-de-vitesse-avec-changement-de-direction.jpg","#velocidad"
"es","5 formas de trabajar la fuerza sin material","Sin gimnasio ni equipamiento profesional también se entrena la fuerza. Circuitos, escaleras, cuesta, pliometría y peso corporal al alcance de todo club amateur.","https://www.ppf11.com/es/blog/5-formas-de-trabajar-la-fuerza-sin-material","https://www.preparationphysiquefootball.com/images/blog/Musculation-travail-en-hypertrophie.jpg","#fuerza"
